timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency
1473176447914,8041,GET /repo/files/tree,200,OK,Standard User Load 1-1,true,,1493865,1,1,http://localhost:8080/pentaho/api/repo/files/tree?showHidden=false&filter=*|FILES&_=1389042244670,8014
1473176455990,130,GET /repos/{contextId}/{resourceId} with plugin resource file id,200,OK,Standard User Load 1-1,true,,20129,1,1,http://localhost:8080/pentaho/api/repos/admin-plugin/resources/authenticationProviderModule/authenticationProviderAdmin.html,130
1473176456121,1728,POST /repos/{contextId}/{resourceId},200,OK,Standard User Load 1-1,true,,192,1,1,http://localhost:8080/pentaho/api/repos/xanalyzer/service/ajax/lookupXmiId,1728
1473176457850,11,GET /repos/{pathId}/default,303,See Other,Standard User Load 1-1,true,,238,1,1,http://localhost:8080/pentaho/api/repos/public:steel%20wheels:Invoice%20(report).prpt/default,11
1473176457862,19,GET /session/userWorkspaceDir,200,OK,Standard User Load 1-1,true,,158,1,1,http://localhost:8080/pentaho/api/session/userWorkspaceDir,19
1473176457882,34,GET /session/workspaceDirForUser,200,OK,Standard User Load 1-1,true,,158,1,1,http://localhost:8080/pentaho/api/session/workspaceDirForUser/admin,34
1473176457917,278,GET /userrolelist/allRoles,200,OK,Standard User Load 1-1,true,,375,1,1,http://localhost:8080/pentaho/api/userrolelist/allRoles,278
1473176458195,15,GET /userrolelist/extraRoles,200,OK,Standard User Load 1-1,true,,343,1,1,http://localhost:8080/pentaho/api/userrolelist/extraRoles,15
1473176458211,23,GET /userrolelist/getRolesForUser,200,OK,Standard User Load 1-1,true,,248,1,1,http://localhost:8080/pentaho/api/userrolelist/getRolesForUser?user=admin,23
1473176458235,113,GET /userrolelist/getUsersInRole,200,OK,Standard User Load 1-1,true,,267,1,1,http://localhost:8080/pentaho/api/userrolelist/getUsersInRole?role=Authenticated,113
1473176458349,38,GET /userrolelist/permission-roles,200,OK,Standard User Load 1-1,true,,375,1,1,http://localhost:8080/pentaho/api/userrolelist/permission-roles,38
1473176458387,52,GET /userrolelist/permission-users,200,OK,Standard User Load 1-1,true,,290,1,1,http://localhost:8080/pentaho/api/userrolelist/permission-users,52
1473176458440,15,GET /userrolelist/roles,200,OK,Standard User Load 1-1,true,,347,1,1,http://localhost:8080/pentaho/api/userrolelist/roles,15
1473176458456,7,GET /userrolelist/systemRoles,200,OK,Standard User Load 1-1,true,,291,1,1,http://localhost:8080/pentaho/api/userrolelist/systemRoles,7
1473176458464,127,GET /userrolelist/users,200,OK,Standard User Load 1-1,true,,290,1,1,http://localhost:8080/pentaho/api/userrolelist/users,127
1473176458591,6,PUT /repo/files/{pathId},500,Internal Server Error,Standard User Load 1-1,false,,234,1,1,http://localhost:8080/pentaho/api/repo/files/:jmeter-test-044039:test_file_1.txt,6
1473176458598,23,GET /repo/files/{pathId}/properties,204,No Content,Standard User Load 1-1,true,"Premature end of file.
See log file for further details.",122,1,1,http://localhost:8080/pentaho/api/repo/files/:jmeter-test-044039:test_file_1.txt/properties,23
1473176458625,188,POST /scheduler/blockout/add,200,OK,Standard User Load 1-1,true,,182,1,1,http://localhost:8080/pentaho/api/scheduler/blockout/add,188
1473176458822,160,GET /scheduler/blockout/blockoutjobs,200,OK,Standard User Load 1-1,true,,1270,1,1,http://localhost:8080/pentaho/api/scheduler/blockout/blockoutjobs,160
1473176458983,395,POST /scheduler/blockout/blockstatus,200,OK,Standard User Load 1-1,true,,205,1,1,http://localhost:8080/pentaho/api/scheduler/blockout/blockstatus,395
1473176459379,20,GET /scheduler/blockout/hasblockouts,200,OK,Standard User Load 1-1,true,,151,1,1,http://localhost:8080/pentaho/api/scheduler/blockout/hasblockouts,20
1473176459400,53,GET /scheduler/blockout/shouldFireNow,200,OK,Standard User Load 1-1,true,,151,1,1,http://localhost:8080/pentaho/api/scheduler/blockout/shouldFireNow,53
1473176459454,50,POST /scheduler/blockout/update,200,OK,Standard User Load 1-1,true,,182,1,1,http://localhost:8080/pentaho/api/scheduler/blockout/update?jobid=admin%09BlockoutAction%091473176458713,49
1473176459505,130,POST /scheduler/blockout/willFire,200,OK,Standard User Load 1-1,true,,151,1,1,http://localhost:8080/pentaho/api/scheduler/blockout/willFire,130
1473176459636,98,DELETE /scheduler/removeJob,200,OK,Standard User Load 1-1,true,,154,1,1,http://localhost:8080/pentaho/api/scheduler/removeJob,98
1473176459734,5,GET /scheduler/canSchedule,200,OK,Standard User Load 1-1,true,,151,1,1,http://localhost:8080/pentaho/api/scheduler/canSchedule,5
1473176459739,6,GET /scheduler/generatedContentForSchedule,200,OK,Standard User Load 1-1,true,,232,1,1,http://localhost:8080/pentaho/api/scheduler/generatedContentForSchedule?lineageId=:public:Steel%20Wheels:Inventory%20List%20(report).prpt,6
